pl_name,hostname,discoverymethod,disc_year,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
11 Com b,11 Com,Radial Velocity,2007,G,4874.0,13.76,2.09,-0.26,2.45,93.1846,4.72307,2.282,4.44038
11 UMi b,11 UMi,Radial Velocity,2009,K,4213.0,29.79,2.78,-0.02,1.93,125.321,5.013,1.939,4.56216
14 And b,14 And,Radial Velocity,2008,K,4888.0,11.55,1.78,-0.21,2.55,75.4392,5.23133,2.331,4.91781
14 Her b,14 Her,Radial Velocity,2002,K,5338.0,0.93,0.97,0.43,4.45,17.9323,6.61935,4.714,6.383
16 Cyg B b,16 Cyg B,Radial Velocity,1996,G,5750.0,1.13,1.08,0.06,4.36,21.1397,6.215,4.651,6.06428
17 Sco b,17 Sco,Radial Velocity,2020,K,4157.0,25.92,1.22,-0.01,1.7,124.953,5.22606,2.094,4.75429
18 Del b,18 Del,Radial Velocity,2008,G,4980.0,8.8,2.1,-0.06,2.87,76.222,5.51048,3.366,5.27476
24 Boo b,24 Boo,Radial Velocity,2018,G,4816.0,12.19,1.05,-0.78,2.28,95.9863,5.59,3.159,5.3339
24 Sex b,24 Sex,Radial Velocity,2010,K,5098.0,4.9,1.54,-0.03,3.5,72.0691,6.4535,4.285,6.20374
24 Sex c,24 Sex,Radial Velocity,2010,K,5098.0,4.9,1.54,-0.03,3.5,72.0691,6.4535,4.285,6.20374
2M0437 b,2MASS J04372171+2651014,Imaging,2021,M,3100.0,0.84,0.17,0.01,4.5,128.484,16.186,10.386,14.3374
4 UMa b,4 UMa,Radial Velocity,2006,K,4415.0,18.11,1.234,-0.25,1.8,73.4603,4.5801,1.734,4.23773
47 UMa b,47 UMa,Radial Velocity,1996,G,5872.0,1.21334,1.06,0.04,4.29541,13.7967,5.03352,3.75,4.87837
47 UMa c,47 UMa,Radial Velocity,2001,G,5872.0,1.21334,1.06,0.04,4.29541,13.7967,5.03352,3.75,4.87837
47 UMa d,47 UMa,Radial Velocity,2009,G,5872.0,1.21334,1.06,0.04,4.29541,13.7967,5.03352,3.75,4.87837
51 Eri b,51 Eri,Imaging,2015,F,7422.0,1.45,1.75,0.13,4.31078,29.7575,5.21149,4.537,5.15806
51 Peg b,51 Peg,Radial Velocity,1995,G,5761.0,1.19,1.07,0.2058,4.317353,15.4614,5.45309,3.911,5.28647
55 Cnc B b,55 Cnc B,Radial Velocity,2025,M,3286.0,0.274,0.26,0.16,4.86,12.4773,13.152,7.666,11.6798
55 Cnc B c,55 Cnc B,Radial Velocity,2025,M,3286.0,0.274,0.26,0.16,4.86,12.4773,13.152,7.666,11.6798
55 Cnc b,55 Cnc,Radial Velocity,1996,G,5198.0,0.98,1.015,0.39,4.3,12.5855,5.95084,4.015,5.72973
55 Cnc c,55 Cnc,Radial Velocity,2004,G,5198.0,0.98,1.015,0.39,4.3,12.5855,5.95084,4.015,5.72973
55 Cnc d,55 Cnc,Radial Velocity,2002,G,5198.0,0.98,1.015,0.39,4.3,12.5855,5.95084,4.015,5.72973
55 Cnc e,55 Cnc,Radial Velocity,2004,G,5172.0,0.943,0.905,0.35,4.43,12.5855,5.95084,4.015,5.72973
55 Cnc f,55 Cnc,Radial Velocity,2007,G,5198.0,0.98,1.015,0.39,4.3,12.5855,5.95084,4.015,5.72973
6 Lyn b,6 Lyn,Radial Velocity,2008,K,4941.0,4.94,1.32,-0.17,3.16,54.6599,5.87307,3.701,5.60686
61 Vir b,61 Vir,Radial Velocity,2009,G,5577.0,0.963,0.942,-0.01,4.34,8.50332,4.6955,2.956,4.54052
61 Vir c,61 Vir,Radial Velocity,2009,G,5577.0,0.963,0.942,-0.01,4.34,8.50332,4.6955,2.956,4.54052
61 Vir d,61 Vir,Radial Velocity,2009,G,5577.0,0.963,0.942,-0.01,4.34,8.50332,4.6955,2.956,4.54052
7 CMa b,7 CMa,Radial Velocity,2011,K,4826.0,4.87,1.34,0.21,3.19,19.8101,3.95,1.564,3.67853
7 CMa c,7 CMa,Radial Velocity,2019,K,4826.0,4.87,1.34,0.21,3.19,19.8101,3.95,1.564,3.67853
70 Vir b,70 Vir,Radial Velocity,1996,G,5495.0,1.89,1.09,-0.09,3.95,17.9011,4.96808,3.5,4.76178
75 Cet b,75 Cet,Radial Velocity,2012,G,4809.0,10.38,1.92,0.1,2.69,82.9613,5.3532,3.207,5.09343
75 Cet c,75 Cet,Radial Velocity,2023,G,4809.0,10.38,1.92,0.1,2.69,82.9613,5.3532,3.207,5.09343
8 UMi b,8 UMi,Radial Velocity,2015,K,4847.0,10.73,1.51,-0.03,2.57,162.552,6.83295,4.515,6.55896
81 Cet b,81 Cet,Radial Velocity,2008,G,4734.0,11.21,1.23,-0.11,2.41,101.26,5.64307,3.266,5.37588
91 Aqr b,91 Aqr,Radial Velocity,2013,K,4665.0,11.0,1.4,-0.03,2.52,44.0304,4.23946,1.597,3.95311
AB Pic b,AB Pic,Imaging,2005,K,5285.0,0.999394,0.9,0.04,4.53,50.0475,9.13,6.981,8.8378
AF Lep b,AF Lep,Imaging,2023,F,6140.0,1.25,1.218,0.19,4.4,26.8564,6.332,4.926,6.18644
AU Mic b,AU Mic,Transit,2020,M,3540.0,0.862,0.635,0.01,4.37,9.7221,8.81,4.529,7.84038
AU Mic c,AU Mic,Transit,2021,M,3540.0,0.862,0.635,0.01,4.37,9.7221,8.81,4.529,7.84038
AU Mic d,AU Mic,Transit Timing Variations,2023,M,3678.0,0.744,0.51,0.23,4.404,9.7221,8.81,4.529,7.84038
AU Mic e,AU Mic,Radial Velocity,2025,M,3665.0,0.82,0.6,0.12,4.52,9.7221,8.81,4.529,7.84038
BD+05 4868 A b,BD+05 4868 A,Transit,2025,K,4596.0,0.69,0.7,-0.05,4.6,43.5687,10.158,7.448,9.84152
BD+14 4559 b,BD+14 4559,Radial Velocity,2009,K,4864.0,0.86,0.49,0.17,4.26,49.352,9.78,7.336,9.35108
BD+15 2375 b,BD+15 2375,Radial Velocity,2016,G,4649.0,8.95,1.08,-0.22,2.61,768.045,10.41,7.718,9.9918
BD+15 2940 b,BD+15 2940,Radial Velocity,2013,K,4796.0,14.7,1.1,0.28,2.8,426.42,9.01,6.525,8.7178
BD+20 2457 b,BD+20 2457,Radial Velocity,2009,K,4137.0,49.0,2.8,-1.0,1.51,1539.71,9.743,6.42,9.22684
BD+20 2457 c,BD+20 2457,Radial Velocity,2009,K,4137.0,49.0,2.8,-1.0,1.51,1539.71,9.743,6.42,9.22684
BD+20 274 b,BD+20 274,Radial Velocity,2012,K,4296.0,17.3,0.8,-0.46,1.99,1322.51,9.367,6.169,8.91613
BD+20 594 b,BD+20 594,Transit,2016,G,5766.0,1.08,1.67,-0.15,4.5,179.461,10.849,9.368,10.8644
BD+45 564 b,BD+45 564,Radial Velocity,2021,K,5004.0,0.813064,0.81,-0.09,4.22,53.622,9.67,7.557,9.41266
BD+48 738 b,BD+48 738,Radial Velocity,2011,K,4414.0,11.0,0.74,-0.2,2.24,871.493,9.139,5.904,8.65569
BD+48 740 b,BD+48 740,Radial Velocity,2018,K,4534.0,10.33,1.09,-0.13,2.48,666.589,8.69,5.645,8.26449
BD+49 828 b,BD+49 828,Radial Velocity,2015,K,4943.0,7.6,1.52,-0.19,2.85,442.042,9.381,6.571,9.02851
BD+55 362 b,BD+55 362,Radial Velocity,2021,K,5012.0,0.896193,0.909,0.18,4.09,52.5697,9.38,7.331,9.15305
BD+63 1405 b,BD+63 1405,Radial Velocity,2021,K,5000.0,0.804724,0.816,-0.09,4.2,38.0473,8.96,6.78,8.705
BD-06 1339 b,BD-06 1339,Radial Velocity,2013,K,4324.0,0.686355,0.7,-0.14,4.74,20.2695,9.7,6.305,9.10677
BD-06 1339 c,BD-06 1339,Radial Velocity,2013,K,4324.0,0.686355,0.7,-0.14,4.74,20.2695,9.7,6.305,9.10677
BD-08 2823 b,BD-08 2823,Radial Velocity,2009,K,4816.0,0.71,0.5,-0.06,4.43,41.3342,9.86,7.323,9.50331
BD-08 2823 c,BD-08 2823,Radial Velocity,2009,K,4746.0,0.71,0.74,-0.07,4.13,41.3342,9.86,7.323,9.50331
BD-10 3166 b,BD-10 3166,Radial Velocity,2000,K,5393.0,0.91,1.47,0.38,4.69,84.4069,10.013,8.124,9.83981
BD-11 4672 b,BD-11 4672,Radial Velocity,2014,K,4550.0,0.639,0.651,-0.35,4.642,27.1665,10.03,6.867,9.48511
BD-11 4672 c,BD-11 4672,Radial Velocity,2020,K,4550.0,0.639,0.651,-0.35,4.642,27.1665,10.03,6.867,9.48511
BD-13 2130 b,BD-13 2130,Radial Velocity,2007,G,4545.0,19.17,2.12,-0.08,2.2,925.214,10.038,7.151,9.69971
BD-17 63 b,BD-17 63,Radial Velocity,2008,K,4714.0,0.74,0.741,-0.03,4.26,34.4603,9.62,6.914,9.20112
BD-210397 b,BD-210397,Radial Velocity,2023,K,4051.0,0.747,0.679,0.12,4.67,23.7324,9.84,6.504,9.25962
BD-210397 c,BD-210397,Radial Velocity,2023,K,4051.0,0.747,0.69,0.12,4.67,23.7324,9.84,6.504,9.25962
BEBOP-4 AB b,BEBOP-4 A,Radial Velocity,2025,G,5701.43,2.75645,1.507,0.2615,3.56597,234.294,9.646,8.076,9.43326
Barnard b,Barnard's star,Radial Velocity,2024,M,3195.0,0.185,0.162,-0.56,4.9,1.82655,9.54,4.524,8.19511
Barnard c,Barnard's star,Radial Velocity,2025,M,3195.0,0.185,0.162,-0.56,4.9,1.82655,9.54,4.524,8.19511
Barnard d,Barnard's star,Radial Velocity,2025,M,3195.0,0.185,0.162,-0.56,4.9,1.82655,9.54,4.524,8.19511
Barnard e,Barnard's star,Radial Velocity,2025,M,3195.0,0.185,0.162,-0.56,4.9,1.82655,9.54,4.524,8.19511
CD Cet b,CD Cet,Radial Velocity,2020,M,3130.0,0.175,0.161,0.13,4.93,8.60715,13.95,7.833,12.1232
CD-35 2722 b,CD-35 2722,Imaging,2011,M,3689.0,0.558549,0.4,-0.16,4.24,22.3896,11.041,7.046,10.2176
COCONUTS-2 b,COCONUTS-2 A,Imaging,2021,M,3552.0,0.366,0.4,0.0,4.91,10.8864,11.298,6.579,10.146
CoRoT-1 b,CoRoT-1,Transit,2008,G,5950.0,1.11,0.95,-0.3,4.25,787.909,13.623,12.149,13.457
CoRoT-10 b,CoRoT-10,Transit,2010,K,5075.0,0.79,0.89,0.26,4.65,338.386,15.293,11.782,14.6645
CoRoT-11 b,CoRoT-11,Transit,2010,F,6440.0,1.37,1.27,-0.03,4.22,655.037,12.897,11.248,12.841
CoRoT-13 b,CoRoT-13,Transit,2010,G,5945.0,1.01,1.09,0.01,4.46,1148.93,15.005,13.376,14.9147
CoRoT-14 b,CoRoT-14,Transit,2010,F,6035.0,1.21,1.13,0.05,4.35,1744.6,15.932,13.806,15.8116
CoRoT-16 b,CoRoT-16,Transit,2011,G,5650.0,1.19,1.098,0.19,4.36,732.409,16.052,12.847,15.6507
CoRoT-17 b,CoRoT-17,Transit,2011,G,5740.0,1.59,1.04,0.0,4.4,1176.12,16.29,12.472,15.4368
CoRoT-18 b,CoRoT-18,Transit,2011,G,5440.0,1.0,0.95,-0.1,4.4,764.889,14.868,13.014,14.8009
CoRoT-19 b,CoRoT-19,Transit,2011,F,6090.0,1.65,1.21,-0.02,4.07,790.663,14.135,11.837,13.7831
CoRoT-20 b,CoRoT-20,Transit,2011,G,5880.0,1.02,1.14,0.14,4.35,844.061,14.63,12.513,14.4686
CoRoT-20 c,CoRoT-20,Radial Velocity,2018,G,5880.0,1.02,1.14,0.14,4.35,844.061,14.63,12.513,14.4686
CoRoT-21 b,CoRoT-21,Transit,2012,F,6200.0,1.95,1.29,0.0,3.7,1398.834197,16.058,13.813,15.8558
CoRoT-22 b,CoRoT-22,Transit,2014,G,5939.0,1.136,1.099,0.17,4.361,627.158,13.82,11.988,13.7305
CoRoT-23 b,CoRoT-23,Transit,2011,G,5900.0,1.61,1.14,0.05,4.3,1060.97,15.675,12.364,15.0681
CoRoT-24 b,CoRoT-24,Transit,2014,K,4950.0,0.86,0.91,0.3,4.55,591.555,15.383,12.924,15.1801
CoRoT-24 c,CoRoT-24,Transit,2014,K,4950.0,0.86,0.91,0.3,4.55,591.555,15.383,12.924,15.1801
CoRoT-25 b,CoRoT-25,Transit,2013,F,6040.0,1.19,1.09,-0.01,4.31,1103.48,14.79,12.846,14.711
CoRoT-26 b,CoRoT-26,Transit,2013,G,5590.0,1.79,1.09,0.01,3.99,1045.18,15.861,13.261,15.4682
CoRoT-27 b,CoRoT-27,Transit,2014,G,5900.0,1.08,1.05,-0.1,4.4,1010.28,15.774,12.985,15.3902
CoRoT-28 b,CoRoT-28,Transit,2015,G,5150.0,1.78,1.01,0.15,3.6,766.183,13.783,11.032,13.4119
CoRoT-29 b,CoRoT-29,Transit,2015,K,5260.0,0.9,0.97,0.2,4.3,806.507,15.408,13.048,15.2394
CoRoT-3 b,CoRoT-3,Transit,2008,F,6740.0,1.56,1.37,0.14,4.22,768.771,13.448,11.618,13.2188
CoRoT-30 b,CoRoT-30,Transit,2020,G,5650.0,0.91,0.98,0.02,4.4,1032.23,15.571,13.562,15.413
CoRoT-31 b,CoRoT-31,Transit,2020,G,5700.0,2.15,1.25,0.0,3.85,2005.76,15.479,13.426,15.4655
CoRoT-32 b,CoRoT-32,Transit,2018,G,5970.0,0.79,1.08,0.0,4.67,576.683,13.626,12.193,13.5867
CoRoT-35 b,CoRoT-35,Transit,2022,F,6390.0,1.65,1.01,-0.5,4.01,1123.21,15.635,12.935,15.2625
CoRoT-36 b,CoRoT-36,Transit,2022,F,6730.0,1.52,1.32,-0.1,4.16,925.958,13.126,11.592,12.9515
CoRoT-5 b,CoRoT-5,Transit,2009,F,6100.0,1.186,1.0,-0.25,4.19,882.472,14.043,12.546,13.9021
CoRoT-6 b,CoRoT-6,Transit,2009,F,6090.0,1.025,1.05,-0.2,4.43,645.294,13.961,12.119,13.7459
CoRoT-7 b,CoRoT-7,Transit,2009,G,5275.0,0.83,0.82,0.05,4.5,159.906,11.728,9.806,11.5239
CoRoT-7 c,CoRoT-7,Radial Velocity,2009,G,5256.0,0.864273,0.899,0.06,4.51853,159.906,11.728,9.806,11.5239
CoRoT-7 d,CoRoT-7,Radial Velocity,2022,G,5250.0,0.8389,0.915,0.12,4.573,159.906,11.728,9.806,11.5239
CoRoT-8 b,CoRoT-8,Transit,2010,K,5080.0,0.77,0.88,0.3,4.58,322.037,14.792,11.463,14.2195
CoRoT-9 b,CoRoT-9,Transit,2009,G,5625.0,0.96,0.96,-0.01,4.54,412.98,13.637,11.688,13.5008
DMPP-3 A b,DMPP-3 A,Radial Velocity,2019,K,5138.0,0.91,0.9,0.18,4.46049,46.8917,9.1,7.061,8.8543
DMPP-4 b,DMPP-4,Radial Velocity,2023,F,6400.0,1.38,1.25,-0.007,4.24,25.3284,5.72936,4.494,5.60037
DS Tuc A b,DS Tuc A,Transit,2019,G,5428.0,0.964,1.01,0.0,4.6,44.0622,8.17,6.676,8.31926
EPIC 201754305 d,K2-16,Transit,2019,K,4761.0,0.544,0.67,-0.33,4.629,334.967,14.668,12.087,14.3234
EPIC 211822797 b,EPIC 211822797,Transit,2016,M,4057.0,0.58,0.62,0.2,4.7,186.197,15.133,11.429,14.5263
EPIC 211945201 b,EPIC 211945201,Transit,2018,G,6069.0,1.39,1.17,0.1,4.22,181.69,10.154,8.837,10.0512
EPIC 212737443 b,EPIC 212737443,Transit,2019,K,4684.0,0.673,0.69,-0.137,4.622,336.25,14.81,12.16,14.4776
EPIC 212737443 c,EPIC 212737443,Transit,2019,K,4684.0,0.673,0.69,-0.137,4.622,336.25,14.81,12.16,14.4776
EPIC 220674823 b,EPIC 220674823,Transit,2016,G,5578.0,0.99,0.913,-0.005,4.408,244.59,12.101,10.344,11.9535
EPIC 220674823 c,EPIC 220674823,Transit,2016,G,5578.0,0.99,0.913,-0.005,4.408,244.59,12.101,10.344,11.9535
EPIC 246851721 b,EPIC 246851721,Transit,2018,F,6202.0,1.586,1.317,0.141,4.157,372.632,11.237,9.893,11.2549
EPIC 249893012 b,EPIC 249893012,Transit,2020,G,5430.0,1.71,1.05,0.2,3.99,321.296,11.429,9.714,11.4019
EPIC 249893012 c,EPIC 249893012,Transit,2020,G,5430.0,1.71,1.05,0.2,3.99,321.296,11.429,9.714,11.4019
EPIC 249893012 d,EPIC 249893012,Transit,2020,G,5430.0,1.71,1.05,0.2,3.99,321.296,11.429,9.714,11.4019
G 264-012 b,G 264-012,Radial Velocity,2021,M,3326.0,0.305,0.297,0.1,4.85,16.009,13.078,7.986,11.7617
G 264-012 c,G 264-012,Radial Velocity,2021,M,3326.0,0.305,0.297,0.1,4.85,16.009,13.078,7.986,11.7617
G 9-40 b,G 9-40,Transit,2019,M,3395.0,0.3026,0.2952,-0.07,4.84,27.9276,13.821,9.19,12.7331
GJ 1002 b,GJ 1002,Radial Velocity,2022,M,3024.0,0.137,0.12,-0.25,5.1,4.84867,13.76,7.439,11.7804
GJ 1002 c,GJ 1002,Radial Velocity,2022,M,3024.0,0.137,0.12,-0.25,5.1,4.84867,13.76,7.439,11.7804
GJ 1061 b,GJ 1061,Radial Velocity,2020,M,2953.0,0.156,0.12,-0.08,5.15856,3.67278,12.7,6.61,10.9889
GJ 1061 c,GJ 1061,Radial Velocity,2020,M,2953.0,0.156,0.12,-0.08,5.15856,3.67278,12.7,6.61,10.9889
GJ 1061 d,GJ 1061,Radial Velocity,2020,M,2953.0,0.156,0.12,-0.08,5.15856,3.67278,12.7,6.61,10.9889
GJ 1132 b,GJ 1132,Transit,2015,M,3229.0,0.2211,0.1945,-0.17,5.037,12.613,13.68,8.322,12.138
GJ 1132 c,GJ 1132,Radial Velocity,2018,M,3090.0,0.226,0.198,-0.18,5.02,12.613,13.68,8.322,12.138
GJ 1137 c,HD 93083,Radial Velocity,2026,K,5033.8,0.837,0.836,0.13,4.23,28.5159,8.3,6.132,8.04206
GJ 1148 b,GJ 1148,Radial Velocity,2010,M,3287.0,0.358519,0.344045,0.1596,4.86566,11.0143,11.939,6.822,10.5769
GJ 1148 c,GJ 1148,Radial Velocity,2017,M,3287.0,0.358519,0.344045,0.1596,4.86566,11.0143,11.939,6.822,10.5769
GJ 1151 c,GJ 1151,Radial Velocity,2023,M,3280.0,0.1781,0.1639,-0.12,5.09,8.03625,13.76,7.637,11.6938
GJ 1214 b,GJ 1214,Transit,2009,M,3101.0,0.2162,0.182,0.24,5.0286,14.6427,15.1,8.782,13.0089
GJ 1252 b,GJ 1252,Transit,2020,M,3458.0,0.391,0.381,0.1,4.83,20.373,12.68,7.915,11.2364
GJ 1265 b,GJ 1265,Radial Velocity,2018,M,3236.0,0.192,0.178,-0.04,5.09,10.2525,14.01,8.115,12.0807
GJ 1289 b,GJ 1289,Radial Velocity,2024,M,3296.0,0.245012,0.21,0.02,4.9931,8.35147,12.48,7.226,11.1534
GJ 143 b,GJ 143,Transit,2019,K,4640.0,0.695,0.73,0.003,4.613,16.32,8.08,5.375,7.67906
GJ 15 A b,GJ 15 A,Radial Velocity,2014,M,3607.0,0.38,0.38,-0.34,4.87,3.56228,8.09,4.018,7.2162
GJ 15 A c,GJ 15 A,Radial Velocity,2018,M,3607.0,0.38,0.38,-0.34,4.87,3.56228,8.09,4.018,7.2162
GJ 163 b,GJ 163,Radial Velocity,2013,M,3500.0,0.409738,0.4,0.1,4.81775,15.1285,11.79,7.135,10.6771
GJ 163 c,GJ 163,Radial Velocity,2013,M,3500.0,0.409738,0.4,0.1,4.81775,15.1285,11.79,7.135,10.6771
GJ 163 d,GJ 163,Radial Velocity,2013,M,3500.0,0.409738,0.4,0.1,4.81775,15.1285,11.79,7.135,10.6771
GJ 179 b,GJ 179,Radial Velocity,2009,M,3370.0,0.38,0.357,0.3,4.83,12.356,11.963,6.942,10.7055
GJ 2126 b,GJ 2126,Radial Velocity,2025,M,4159.0,0.728,0.65,0.6,4.527,38.129,10.7,7.557,10.1496
GJ 238 b,GJ 238,Transit,2024,M,3485.0,0.4314,0.4193,0.15,4.85243,15.2142,11.62,7.03,10.5294
GJ 251 b,GJ 251,Radial Velocity,2020,M,3342.0,0.36,0.35,0.07,4.87,5.58057,9.89,5.275,8.85518
GJ 251 c,GJ 251,Radial Velocity,2025,M,3342.0,0.36,0.35,0.07,4.87,5.58057,9.89,5.275,8.85518
GJ 3021 b,GJ 3021,Radial Velocity,2000,G,5540.0,0.9,0.9,0.1,4.7,17.5559,6.59,4.859,6.39729
GJ 3090 b,GJ 3090,Transit,2022,M,3707.0,0.516,0.519,0.12,4.727,22.4751,11.403,7.294,10.5521
GJ 3090 c,GJ 3090,Radial Velocity,2026,M,3707.0,0.516,0.519,0.12,4.727,22.4751,11.403,7.294,10.5521
GJ 3138 b,GJ 3138,Radial Velocity,2017,M,3717.0,0.5,0.681,-0.3,4.62872,28.4712,10.8275,7.246,10.1924
GJ 3138 c,GJ 3138,Radial Velocity,2017,M,3717.0,0.5,0.681,-0.3,4.62872,28.4712,10.8275,7.246,10.1924
GJ 3138 d,GJ 3138,Radial Velocity,2017,M,3717.0,0.5,0.681,-0.3,4.62872,28.4712,10.8275,7.246,10.1924
GJ 317 b,GJ 317,Radial Velocity,2007,M,3496.0,0.403,0.402,-0.02,4.822436,15.1968,12.4,7.028,10.7539
GJ 317 c,GJ 317,Radial Velocity,2016,M,3496.0,0.403,0.402,-0.02,4.822436,15.1968,12.4,7.028,10.7539
GJ 328 b,GJ 328,Radial Velocity,2013,M,3897.0,0.63,0.65,-0.06,4.64,20.5266,9.99,6.352,9.2861
GJ 328 c,GJ 328,Radial Velocity,2023,M,3897.0,0.63,0.65,-0.06,4.64,20.5266,9.99,6.352,9.2861
GJ 3293 b,GJ 3293,Radial Velocity,2015,M,3466.0,0.404,0.42,0.02,4.78125,20.1903,11.945,7.486,10.9788
GJ 3293 c,GJ 3293,Radial Velocity,2015,M,3466.0,0.404,0.42,0.02,4.78125,20.1903,11.945,7.486,10.9788
GJ 3293 d,GJ 3293,Radial Velocity,2017,M,3466.0,0.404,0.42,0.02,4.78125,20.1903,11.945,7.486,10.9788
GJ 3293 e,GJ 3293,Radial Velocity,2017,M,3466.0,0.404,0.42,0.02,4.78125,20.1903,11.945,7.486,10.9788
GJ 3341 b,GJ 3341,Radial Velocity,2015,M,3526.0,0.439,0.47,-0.09,4.76852,23.619,12.062,7.733,11.1029
GJ 3378 b,GJ 3378,Radial Velocity,2026,M,3340.0,0.275,0.262,-0.09,4.97,7.72274,12.37,6.639,10.4084
GJ 338 B b,GJ 338 B,Radial Velocity,2020,M,4014.0,0.58,0.64,-0.03,4.68,6.33256,7.7,4.136,7.04775
GJ 341 b,GJ 341,Transit,2025,M,3770.0,0.5066,0.48,-0.16,4.72,10.454,9.49,5.587,8.67538
GJ 3470 b,GJ 3470,Radial Velocity,2012,M,3600.0,0.547,0.539,0.2,4.695,29.4214,12.332,7.989,11.3537
GJ 3473 b,GJ 3473,Transit,2020,M,3347.0,0.364,0.36,0.11,4.81,27.3644,13.74,8.829001,12.465
GJ 3473 c,GJ 3473,Radial Velocity,2020,M,3347.0,0.364,0.36,0.11,4.81,27.3644,13.74,8.829001,12.465
GJ 3512 b,GJ 3512,Radial Velocity,2019,M,3141.0,0.139,0.123,-0.07,5.1582,9.48637,15.18,8.668,13.1117
GJ 3512 c,GJ 3512,Radial Velocity,2020,M,3141.0,0.139,0.123,-0.07,5.1582,9.48637,15.18,8.668,13.1117
GJ 357 b,GJ 357,Transit,2019,M,3505.0,0.337,0.342,-0.12,4.94,9.44181,10.91,6.475,9.88036
GJ 357 c,GJ 357,Radial Velocity,2019,M,3505.0,0.337,0.342,-0.12,4.94,9.44181,10.91,6.475,9.88036
GJ 357 d,GJ 357,Radial Velocity,2019,M,3505.0,0.337,0.342,-0.12,4.94,9.44181,10.91,6.475,9.88036
GJ 367 b,GJ 367,Transit,2021,M,3535.0,0.457,0.451,-0.01,4.776,9.41263,10.153,5.78,9.15159
GJ 367 c,GJ 367,Radial Velocity,2023,M,3522.0,0.458,0.455,-0.01,4.776,9.41263,10.153,5.78,9.15159
GJ 367 d,GJ 367,Radial Velocity,2023,M,3522.0,0.458,0.455,-0.01,4.776,9.41263,10.153,5.78,9.15159
GJ 3779 b,GJ 3779,Radial Velocity,2018,M,3324.0,0.281,0.27,0.0,5.05,13.743,13.04,7.957,11.6266
GJ 3929 b,GJ 3929,Transit,2022,M,3384.0,0.32,0.313,-0.02,4.89,15.8095,12.675,7.869,11.5109
GJ 3929 c,GJ 3929,Radial Velocity,2022,M,3384.0,0.32,0.313,-0.02,4.89,15.8095,12.675,7.869,11.5109
GJ 393 b,GJ 393,Radial Velocity,2021,M,3579.0,0.426,0.426,-0.09,4.88,7.03149,9.65,5.311,8.67373
GJ 3942 b,GJ 3942,Radial Velocity,2017,M,3867.0,0.61,0.63,-0.04,4.65,16.9287,10.166,6.331,9.40765
GJ 3988 b,GJ 3988,Radial Velocity,2023,M,3273.0,0.19734,0.1842,-0.12,4.92,9.9105,13.627,7.921,11.9925
GJ 3998 b,GJ 3998,Radial Velocity,2016,M,3726.0,0.5,0.52,-0.13,4.75,18.1459,10.844,6.816,9.98337
GJ 3998 c,GJ 3998,Radial Velocity,2016,M,3726.0,0.5,0.52,-0.13,4.75,18.1459,10.844,6.816,9.98337
GJ 3998 d,GJ 3998,Radial Velocity,2025,M,3726.0,0.5,0.52,-0.13,4.75,18.1459,10.844,6.816,9.98337
GJ 414 A b,GJ 414 A,Radial Velocity,2021,K,4120.0,0.68,0.65,0.24,4.65,11.8893,8.31,4.979,7.72808
GJ 414 A c,GJ 414 A,Radial Velocity,2021,K,4120.0,0.68,0.65,0.24,4.65,11.8893,8.31,4.979,7.72808
GJ 4274 b,GJ 4274,Radial Velocity,2026,M,3228.0,0.19,0.18,-0.19,5.26,7.23556,13.31,7.319,11.5542
GJ 4274 c,GJ 4274,Radial Velocity,2026,M,3228.0,0.19,0.18,-0.19,5.26,7.23556,13.31,7.319,11.5542
GJ 4276 b,GJ 4276,Radial Velocity,2019,M,3387.0,0.407,0.406,0.12,4.97,21.3362,12.903,7.887,11.6605
GJ 433 b,GJ 433,Radial Velocity,2013,M,3461.0,0.5,0.48,-0.17,4.81,9.06456,9.81,5.623,8.89138
GJ 433 c,GJ 433,Radial Velocity,2014,M,3461.0,0.5,0.48,-0.17,4.81,9.06456,9.81,5.623,8.89138
GJ 433 d,GJ 433,Radial Velocity,2020,M,3461.0,0.5,0.48,-0.17,4.81,9.06456,9.81,5.623,8.89138
GJ 436 b,GJ 436,Radial Velocity,2004,M,3586.11,0.455,0.47,0.0991,4.792,9.75321,10.67,6.073,9.57148
GJ 463 b,GJ 463,Radial Velocity,2022,M,3563.0,0.483,0.486,-0.16,4.86,18.3554,11.595,7.122,10.5462
GJ 480 b,GJ 480,Radial Velocity,2020,M,3509.0,0.449,0.45,0.26,4.88,14.2358,11.49,6.691,10.3249
GJ 486 b,GJ 486,Radial Velocity,2021,M,3317.0,0.3243,0.312,-0.15,4.9111,8.07426,11.39,6.362,10.094
GJ 504 b,GJ 504,Imaging,2013,G,6234.0,1.26,1.22,0.28,4.6,17.5299,5.18799,4.033,5.04156
GJ 508.2 b,GJ 508.2,Radial Velocity,2025,M,3720.0,0.53,0.54,-0.15,4.71218,16.6374,10.61,6.555,9.76539
GJ 514 b,GJ 514,Radial Velocity,2022,M,3728.0,0.5,0.51,-0.14,4.76,7.61778,9.05,5.036,8.20621
GJ 536 b,GJ 536,Radial Velocity,2016,M,3641.0,0.529,0.528,-0.08,4.713,10.4092,9.71,5.683,8.85881
