pl_name,hostname,discoverymethod,disc_year,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
K2-140 b,K2-140,Transit,2017,G,5585.0,1.06,0.96,0.1,4.4,347.917,12.727,10.995,12.4814
K2-141 b,K2-141,Transit,2018,K,4570.0,0.681,0.708,0.0,4.62,61.8736,11.454,8.401,10.7217
K2-141 c,K2-141,Transit,2018,K,4570.0,0.681,0.708,0.0,4.62,61.8736,11.454,8.401,10.7217
K2-146 b,K2-146,Transit,2018,M,3385.0,0.33,0.331,-0.02,4.8983,79.3002,16.7,11.37,14.9834
K2-146 c,K2-146,Transit,2019,M,3385.0,0.33,0.331,-0.02,4.8983,79.3002,16.7,11.37,14.9834
K2-149 b,K2-149,Transit,2018,M,3745.0,0.568,0.595,0.11,4.707,123.676,14.543,10.561,13.7795
K2-15 b,K2-15,Transit,2015,G,5131.0,0.68,0.72,-0.46,4.571,493.992,14.758,12.495,14.4237
K2-150 b,K2-150,Transit,2018,M,3499.0,0.436,0.457,0.09,4.822,102.483,15.784,11.249,14.815
K2-151 b,K2-151,Transit,2018,M,3695.0,0.45,0.47,-0.19,4.8,69.4798,14.175,10.117,13.3119
K2-152 b,K2-152,Transit,2018,M,4044.0,0.61,0.63,0.12,4.67,108.449,13.728,10.096,13.0383
K2-153 b,K2-153,Transit,2018,M,3845.0,0.53,0.55,-0.09,4.73,143.125,14.96,11.207,14.2706
K2-154 b,K2-154,Transit,2018,M,4097.0,0.63,0.65,0.21,4.65,129.356,13.861,10.368,13.3173
K2-154 c,K2-154,Transit,2018,M,4097.0,0.63,0.65,0.21,4.65,129.356,13.861,10.368,13.3173
K2-155 b,K2-155,Transit,2018,K,4258.0,0.58,0.65,-0.3,4.6,72.7998,12.773,9.496,12.2528
K2-155 c,K2-155,Transit,2018,K,4258.0,0.58,0.65,-0.3,4.6,72.7998,12.773,9.496,12.2528
K2-155 d,K2-155,Transit,2018,K,4258.0,0.58,0.65,-0.3,4.6,72.7998,12.773,9.496,12.2528
K2-157 b,K2-157,Transit,2018,G,5334.0,0.86,0.89,0.02,4.45,298.373,12.942,10.98,12.6419
K2-157 c,K2-157,Radial Velocity,2025,G,5334.0,0.86,0.89,0.02,4.45,298.373,12.942,10.98,12.6419
K2-157 d,K2-157,Radial Velocity,2025,G,5334.0,0.86,0.89,0.02,4.45,298.373,12.942,10.98,12.6419
K2-16 b,K2-16,Transit,2015,K,4742.0,0.66,0.68,-0.33,4.51,334.967,14.668,12.087,14.3234
K2-16 c,K2-16,Transit,2015,K,4742.0,0.66,0.68,-0.33,4.51,334.967,14.668,12.087,14.3234
K2-167 b,K2-167,Transit,2018,F,6310.0,1.499,1.084,-0.456,4.122,80.8994,8.24,6.887,8.103581
K2-17 b,K2-17,Transit,2015,K,4320.0,0.66,0.71,0.15,4.798,125.106,13.411,10.308,13.0023
K2-18 b,K2-18,Transit,2015,M,3457.0,0.411,0.359,0.12,4.7864,38.0266,13.477,8.899,12.4154
K2-18 c,K2-18,Radial Velocity,2017,M,3457.0,0.411,0.359,0.09,4.7864,38.0266,13.477,8.899,12.4154
K2-180 b,K2-180,Transit,2018,K,5365.0,0.719,0.735,-0.578,4.591,203.896,12.557,10.677,12.4039
K2-19 b,K2-19,Transit,2015,G,5322.0,0.82,0.88,0.06,4.51,289.827,13.024,11.161,12.8153
K2-19 c,K2-19,Transit,2015,G,5322.0,0.82,0.88,0.06,4.51,289.827,13.024,11.161,12.8153
K2-19 d,K2-19,Transit,2016,G,5350.0,0.824,0.892,0.03,4.556,289.827,13.024,11.161,12.8153
K2-21 b,K2-21,Transit,2015,M,4222.06,0.646783,0.676023,-0.11,4.828,83.6448,12.851,9.417,12.2785
K2-21 c,K2-21,Transit,2015,M,4222.06,0.646783,0.676023,-0.11,4.828,83.6448,12.851,9.417,12.2785
K2-216 b,K2-216,Transit,2018,K,4503.0,0.72,0.7,0.0,4.57,115.461,12.403,9.721,12.0576
K2-22 b,K2-22,Transit,2015,M,3879.0,0.58,0.595292,0.032,4.7,243.836,15.565,11.924,14.9537
K2-222 b,K2-222,Transit,2018,G,5942.0,1.072,0.94,-0.315,4.35,101.321,9.543,8.105,9.36072
K2-229 b,K2-229,Transit,2018,G,5315.0,0.79,0.87,-0.09,4.6,102.564,10.985,9.05,10.7861
K2-229 c,K2-229,Transit,2018,G,5315.0,0.79,0.87,-0.09,4.59,102.564,10.985,9.05,10.7861
K2-233 b,K2-233,Transit,2018,K,4796.0,0.71,0.79,-0.082,4.53,67.5062,10.883,8.375,10.4191
K2-233 c,K2-233,Transit,2018,K,4796.0,0.71,0.79,-0.082,4.53,67.5062,10.883,8.375,10.4191
K2-233 d,K2-233,Transit,2018,K,4796.0,0.71,0.79,-0.082,4.53,67.5062,10.883,8.375,10.4191
K2-237 b,K2-237,Transit,2018,F,6180.0,1.236,1.256,0.337,4.353,314.995,11.602,10.217,11.4668
K2-238 b,K2-238,Transit,2018,G,5630.0,1.59,1.19,0.34,4.11,537.963,13.973,12.032,13.6635
K2-239 b,K2-239,Transit,2018,M,3420.0,0.36,0.4,-0.1,4.9,31.0849,14.632,9.971,13.4367
K2-239 c,K2-239,Transit,2018,M,3420.0,0.36,0.4,-0.1,4.9,31.0849,14.632,9.971,13.4367
K2-239 d,K2-239,Transit,2018,M,3420.0,0.36,0.4,-0.1,4.9,31.0849,14.632,9.971,13.4367
K2-24 b,K2-24,Transit,2016,G,5625.0,1.16,1.07,0.34,4.29,170.562,11.275,9.18,10.9072
K2-24 c,K2-24,Transit,2016,G,5625.0,1.16,1.07,0.34,4.29,170.562,11.275,9.18,10.9072
K2-240 b,K2-240,Transit,2018,M,3810.0,0.54,0.58,-0.1,4.7,72.9105,13.372,9.56,12.6212
K2-240 c,K2-240,Transit,2018,M,3810.0,0.54,0.58,-0.1,4.7,72.9105,13.372,9.56,12.6212
K2-25 b,K2-25,Transit,2015,M,3207.0,0.2932,0.2634,0.15,4.944,44.9565,16.21,10.444,14.3817
K2-26 b,K2-26,Transit,2016,M,3785.0,0.52,0.56,-0.13,4.72407,99.0504,14.528,10.53,13.7519
K2-260 b,K2-260,Transit,2018,F,6860.0,1.755,1.637,0.334,4.161,663.834,12.624,11.093,12.4667
K2-261 b,K2-261,Transit,2018,G,5490.0,1.663,1.107,0.372,4.04,213.283,10.612,8.89,10.4594
K2-263 b,K2-263,Transit,2018,G,5368.0,0.85,0.88,-0.08,4.51,162.481,11.568,9.748,11.4055
K2-264 b,K2-264,Transit,2018,M,3660.0,0.473,0.496,-0.013,4.783,185.605,16.701,12.183,15.6625
K2-264 c,K2-264,Transit,2018,M,3660.0,0.473,0.496,-0.013,4.783,185.605,16.701,12.183,15.6625
K2-265 b,K2-265,Transit,2018,G,5420.0,0.92,0.901,0.033,4.465,138.671,11.187,9.259,10.9277
K2-28 b,K2-28,Transit,2016,M,3214.0,0.288,0.257,0.26,4.93,62.9969,16.526,10.746,14.6799
K2-285 b,K2-285,Transit,2018,K,4975.0,0.787,0.83,0.0,4.4,154.961,12.075,9.971,11.804
K2-285 c,K2-285,Transit,2018,K,4975.0,0.787,0.83,0.0,4.4,154.961,12.075,9.971,11.804
K2-285 d,K2-285,Transit,2018,K,4975.0,0.787,0.83,0.0,4.4,154.961,12.075,9.971,11.804
K2-285 e,K2-285,Transit,2018,K,4975.0,0.787,0.83,0.0,4.4,154.961,12.075,9.971,11.804
K2-286 b,K2-286,Transit,2018,M,3926.0,0.62,0.64,0.0,4.7,76.1486,12.881,9.317,12.1652
K2-288 B b,K2-288 B,Transit,2018,M,3341.0,0.32,0.33,-0.21,4.96,65.6138,13.868,9.724,14.5451
K2-29 b,K2-29,Transit,2016,G,5358.0,0.86,0.94,0.16,4.54,178.475,12.532,10.062,12.2008
K2-292 b,K2-292,Transit,2019,G,5725.0,1.09,1.0,0.07,4.33,114.293,9.885,8.407,9.75597
K2-295 b,K2-295,Transit,2018,K,4444.0,0.7,0.74,0.14,4.63,232.801,13.8941,11.135,13.5184
